t,x,y,yaw
0.032,4.985848654897722e-05,0.19909170782029365,-1.5670762102854217
0.064,0.008735249299519684,0.19950179021251313,-1.5605418033027347
0.096,0.02158838671627178,0.19733972025892849,-1.57405018444866
0.128,0.03107923827683139,0.1979147872401537,-1.570443677215294
0.160,0.04116201703938418,0.1978830671789416,-1.5701265473419328
0.192,0.0513377932223367,0.1978297256145851,-1.5702125018402995
0.224,0.06153379049173161,0.19778557541755185,-1.5703283861888657
0.256,0.07173833277836172,0.19775026616180874,-1.5704282085533479
0.288,0.08194861259373849,0.19772209621671769,-1.5705095217288223
0.320,0.09216330495034024,0.1976996263446102,-1.5705751377813557
0.352,0.10238148391025008,0.19768170359660675,-1.5706279931024405
0.384,0.1126024315677254,0.19766740793234924,-1.5706705508477534
0.416,0.12282557998978624,0.1976560054070116,-1.570704811408599
0.448,0.1330504782135482,0.19764691056032926,-1.5707323898677394
0.480,0.14327676787948557,0.197639656388316,-1.5707545883897935
0.512,0.15350416414490692,0.19763387038282249,-1.5707724561944676
0.544,0.16373244056722341,0.1976292554150675,-1.570786838288788
0.576,0.1739614171064129,0.19762557448484272,-1.5707984149166248
0.608,0.1841909505983876,0.19762263855427367,-1.5708077334587245
0.640,0.19442092718873694,0.19762029684263413,-1.5708152342119261
0.672,0.20465125632240108,0.19761842908461197,-1.5708212712109593
0.704,0.21488186596851158,0.19761693935494418,-1.5708261290376595
0.736,0.22511269882592536,0.19761575114259564,-1.5708300363841663
0.768,0.2353437093075404,0.197614803421701,-1.570833176991618
0.800,0.24557486114315782,0.19761404751760814,-1.5708356984679301
0.832,0.255806125473714,0.19761344460714458,-1.5708377193924716
0.864,0.2660374793359222,0.19761296372477494,-1.570839335037686
0.896,0.2762689044571666,0.19761258017227556,-1.570840621974652
0.928,0.2865003862969909,0.1976122742502693,-1.5708416417784143
0.960,0.29673191328462206,0.19761203024648297,-1.5708424440075028
0.992,0.30696347621236203,0.19761183562877302,-1.5708430685984769
1.024,0.3171950677529322,0.19761168040147692,-1.5708435477892084
1.056,0.3274266820754058,0.19761155659203555,-1.5708439076626126
1.088,0.3376583145395661,0.19761145784152143,-1.5708441693848114
1.120,0.347889961452661,0.19761137907804208,-1.5708443501973497
1.152,0.3581216198758083,0.1976113162562465,-1.570844464211514
1.184,0.3683532874699123,0.197611266149554,-1.5708445230434491
1.216,0.37858496237302863,0.19761122618443722,-1.5708445363212369
1.248,0.3888166431027608,0.19761119430824453,-1.570844512089022
1.280,0.3990483284785841,0.19761116888377606,-1.5708444571283837
1.312,0.40928001756003235,0.19761114860519735,-1.570844377213204
1.344,0.4195117095975144,0.19761113243097161,-1.5708442773111189
1.376,0.4297434039931862,0.1976111195303676,-1.5708441617420887
1.408,0.4399751002698286,0.19761110924079275,-1.5708440343025718
